,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,goal,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
194,0,98,2.106,0,2.0,1.85,0.626975764,0.373024236,1,7.946718428440665,5.0,0.0,3.0,-0.25
195,0,99,2.371,0,1.1,2.0,0.65191447,0.34808553,-1,7.946718428440665,7.0,2.0,3.0,-0.25
196,0,99,2.328,0,1.85,1.25,0.67208413,0.32791587,1,7.946718428440665,4.0,-1.0,2.0,-0.5
197,0,100,2.482,0,1.1,1.85,0.437147462,0.562852538,-1,7.946718428440665,6.0,1.0,5.0,0.25
198,0,100,4.574,0,2.0,1.7,0.553579571,0.446420429,1,7.946718428440665,4.0,-1.0,4.0,0.0
199,0,101,2.747,0,0.95,1.1,0.60443916,0.39556084,-1,7.946718428440665,5.0,0.0,3.0,-0.25
200,0,101,1.708,1,1.1,1.4,0.42456768,0.57543232,1,7.946718428440665,6.0,1.0,5.0,0.25
201,0,102,2.918,1,2.0,1.55,0.398050975,0.601949025,-1,7.946718428440665,4.0,-1.0,5.0,0.25
202,0,102,1.739,1,1.1,1.85,0.384870604,0.615129396,1,7.946718428440665,6.0,1.0,5.0,0.25
203,0,103,3.706,1,2.0,1.85,0.456017269,0.543982731,-1,7.946718428440665,5.0,0.0,4.0,0.0
204,0,103,1.466,1,0.35,1.1,0.530413625,0.469586375,1,7.946718428440665,6.0,1.0,4.0,0.0
205,0,104,3.625,1,2.0,1.1,0.409787736,0.590212264,-1,7.946718428440665,3.0,-2.0,5.0,0.25
206,0,104,4.432,0,1.7,2.3,0.662248405,0.337751595,1,7.946718428440665,6.0,1.0,3.0,-0.25
207,0,105,3.938,0,0.8,0.95,0.440071102,0.559928898,-1,7.946718428440665,5.0,0.0,5.0,0.25
208,0,105,1.759,1,1.1,2.0,0.375959079,0.624040921,1,7.946718428440665,7.0,2.0,5.0,0.25
209,0,106,2.329,0,0.65,0.95,0.410476599,0.589523401,-1,7.946718428440665,6.0,1.0,5.0,0.25
