,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time,goal,RT,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
156,0,80,2.773406,0,50,53,0.5440180686517571,0.455981931348243,2773.406,-1,,6.440692531296836,5.0,5.0,4.0,0.0
157,0,80,3.496366,1,50,53,0.38744884,0.61255116,,1,3646.366,6.440692531296836,5.0,5.0,5.0,0.25
158,0,81,2.122486,1,50,40,0.3545887481595042,0.6454112518404959,2122.486,-1,,6.440692531296836,2.0,-10.0,6.0,0.5
159,0,81,2.849513,1,50,40,0.554174031,0.445825969,,1,2699.513,6.440692531296836,2.0,-10.0,4.0,0.0
160,0,82,1.5412910000000006,0,80,88,0.6587276510405887,0.3412723489594113,1541.2910000000002,-1,,6.440692531296836,6.0,10.0,3.0,-0.25
161,0,82,1.5403930000000001,1,80,88,0.366176609,0.633823391,,1,1540.393,6.440692531296836,6.0,10.0,6.0,0.5
162,0,83,1.792184,0,115,110,0.6148218490489249,0.3851781509510751,1792.184,-1,,6.440692531296836,3.0,-5.0,3.0,-0.25
163,0,83,2.342863,0,115,110,0.6881492,0.3118508,,1,2342.863,6.440692531296836,3.0,-5.0,2.0,-0.5
164,0,84,1.7191229999999993,0,103,110,0.6666904744899174,0.3333095255100826,1722.1229999999998,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
165,0,84,2.502521,1,103,110,0.501892378,0.498107622,,1,2504.521,6.440692531296836,5.0,5.0,4.0,0.0
166,0,85,5.485479000000001,1,90,80,0.4974405718236078,0.5025594281763921,5485.479,-1,,6.440692531296836,2.0,-10.0,4.0,0.0
167,0,85,1.7996269999999999,0,90,80,0.646072094,0.353927906,,1,1802.627,6.440692531296836,2.0,-10.0,3.0,-0.25
168,0,86,4.941353,1,80,72,0.5957882385654293,0.4042117614345706,4941.353,-1,,6.440692531296836,2.0,-10.0,3.0,-0.25
169,0,86,5.35223,1,80,72,0.710009833,0.289990167,,1,5352.23,6.440692531296836,2.0,-10.0,2.0,-0.5
